Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0.010,S,0.010,0.010,0,0.5009655,0,152.8668,70,0,0,72.31744,79.27036,1.158819,38.0879567091562,38.0879567089588,0.000122630241795288,0.380879600001974,0.3808796,0.000001226302,89.9999,89.9999,0.001904398,0.00000000613151
0.02,S,0.02,0.010,0,0.5009655,0,284.6732,69.99571,0.00001369519,0,72.30488,79.27036,1.160913,98.6779204506105,98.6779204503462,0.000228379674998849,1.3676590000045,1.367659,0.000003510099,89.9999,89.9999,0.01064709,0.00000002981351
0.03,S,0.03,0.010,0,0.5009655,0,416.4796,69.98286,0.0001765827,0,72.29231,79.27036,1.163007,159.298707639984,159.298707639634,0.000334182905716918,2.96064600000793,2.960646,0.000006851928,89.9999,89.9999,0.03228861,0.00000008162365
0.04,S,0.04,0.010,0,0.5009655,0,548.2859,69.96143,0.0008274945,0,72.27975,79.27036,1.165101,219.972452196878,219.972452196438,0.000440078564959517,5.16037000001227,5.16037,0.00001125271,89.9999,89.9999,0.07289369,0.0000001721468
0.05,S,0.05,0.010,0,0.5009655,0,608.6,69.93143,0.002513931,0,72.26719,79.27036,1.167195,247.829108601067,247.829108600585,0.000488697602433408,7.63866100001705,7.638661,0.00001613969,89.9999,89.9999,0.1368888,0.0000003091088
0.05999999,S,0.05999999,0.010,0,0.5009655,0,597.4216,69.89401,0.005508397,0,72.25462,79.27036,1.169289,242.831870228954,242.83187022848,0.000479975773432012,10.0669800000218,10.06698,0.00002093945,89.9999,89.9999,0.225417,0.0000004945045
0.06999999,S,0.06999999,0.010,0,0.5009655,0,610.786,69.85616,0.009567267,0,72.24206,79.27036,1.171383,249.134326375442,249.134326374958,0.000490975633125747,12.5583200000266,12.55832,0.00002584921,89.9999,89.9999,0.3385435,0.0000007284478
0.07999999,S,0.07999999,0.01092673,0,0.5009659,0,681.4172,69.8188,0.01488852,0,72.2295,79.27036,1.173476,281.830802131941,281.830802131408,0.000548041749990519,15.3766300000319,15.37663,0.00003132963,89.9999,89.9999,0.4782183,0.000001014342
0.08999999,S,0.08999999,0.01337889,0,0.5009672,0,688.1876,69.77815,0.02232081,0,72.21693,79.27036,1.17557,285.132021738882,285.132021738344,0.000553803463820699,18.2279500000373,18.22795,0.00003686766,89.9999,89.9999,0.6462412,0.000001355329
0.09999999,S,0.09999999,0.01585977,0,0.5009688,0,652.3835,69.73415,0.03136623,0,72.20437,79.27036,1.177664,268.808772562324,268.808772561811,0.000525314021552868,20.9160400000424,20.91604,0.0000421208,89.9999,89.9999,0.8419611,0.000001750271
0.11,S,0.11,0.01819863,0,0.5009706,0,616.5798,69.69193,0.04129949,0,72.19181,79.27036,1.179758,252.4573748435,252.457374843011,0.000496775449206176,23.4406100000473,23.44061,0.00004708855,89.9999,89.9999,1.063744,0.000002196318
0.12,S,0.12,0.02039523,0,0.5009725,0,580.7761,69.65204,0.05187073,0,72.17924,79.27036,1.181852,236.076905492376,236.076905491912,0.000468186139458041,25.8013800000519,25.80138,0.00005177041,89.9999,89.9999,1.309954,0.000002690612
